                                  url1      url2
deliver                       0.000000  0.025956
demarty                       0.104693  0.000000
demokritos                    0.000000  0.051912
dense                         0.020939  0.000000
depending                     0.000000  0.025956
descriptionthis               0.020939  0.000000
descriptive                   0.020939  0.000000
descriptors                   0.020939  0.000000
details                       0.000000  0.025956
detailspage                   0.000000  0.025956
detection                     0.020939  0.000000
devi                          0.020939  0.000000
dhruv                         0.020939  0.000000
differences                   0.000000  0.025956
different                     0.044694  0.018468
digital                       0.020939  0.000000
directions                    0.000000  0.025956
discuss                       0.000000  0.025956
discussion                    0.000000  0.025956
discussions                   0.000000  0.025956
document                      0.000000  0.025956
documentation                 0.000000  0.051912
dogan                         0.000000  0.025956
domain                        0.000000  0.025956
dong                          0.000000  0.025956
dream                         0.020939  0.000000
due                           0.029796  0.018468
duong                         0.104693  0.000000
durations                     0.041877  0.000000
ears                          0.020939  0.000000
easychair                     0.000000  0.077868
ebi                           0.000000  0.025956
ecir2020                      0.000000  0.077868
education                     0.020939  0.000000
effective                     0.020939  0.000000
eickhoff                      0.000000  0.025956
emailed                       0.000000  0.025956
embl                          0.000000  0.025956
engilberge                    0.020939  0.000000
english                       0.000000  0.077868
enhancing                     0.020939  0.000000
enough                        0.020939  0.000000
entity                        0.000000  0.025956
es                            0.000000  0.051912
etc                           0.014898  0.018468
europe                        0.000000  0.025956
european                      0.000000  0.051912
evaluated                     0.020939  0.000000
evaluation                    0.044694  0.018468
evaluationeach                0.020939  0.000000
evenhanded                    0.020939  0.000000
event                         0.020939  0.000000
exchange                      0.000000  0.025956
expect                        0.000000  0.025956
experience                    0.000000  0.025956
experiences                   0.000000  0.025956
exploitation                  0.000000  0.025956
exploiting                    0.000000  0.025956
extensive                     0.020939  0.000000
extracted                     0.062816  0.000000
fabio                         0.000000  0.025956
fbk                           0.000000  0.051912
fc7                           0.020939  0.000000
features                      0.062816  0.000000
february                      0.000000  0.051912
federal                       0.014898  0.018468
files                         0.000000  0.025956
filmmaking                    0.020939  0.000000
find                          0.020939  0.000000
finlandtask                   0.020939  0.000000
florida                       0.000000  0.025956
fmri                          0.020939  0.000000
focuses                       0.041877  0.000000
folklore                      0.000000  0.025956
follow                        0.000000  0.025956
following                     0.014898  0.018468
footage                       0.020939  0.000000
forum                         0.000000  0.051912
forward                       0.020939  0.000000
france                        0.083754  0.000000
francearon                    0.000000  0.025956
francediana                   0.000000  0.025956
francegeorgeta                0.000000  0.025956
francegeorgios                0.000000  0.025956
francemats                    0.020939  0.000000
